City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Name,Date
247,yerbogachen,61.2767,108.0108,58.24,53,34,2.84,RU,1660532226
248,inhambupe,-11.7844,-38.3531,66.67,93,97,8.41,BR,1660532227
249,lock haven,41.137,-77.4469,67.28,80,78,1.66,US,1660532227
250,la ermita,20.4139,-101.9936,63.93,88,99,3.24,MX,1660532228
251,fare,-16.7,-151.0167,78.55,76,3,13.29,PF,1660532229
252,cidreira,-30.1811,-50.2056,60.51,95,100,10.4,BR,1660532229
253,paradise,36.0972,-115.1467,94.26,31,75,11.5,US,1660532230
254,broken hill,-31.95,141.4333,60.49,35,65,16.06,AU,1660532230
255,codrington,-38.2667,141.9667,55.15,74,68,19.89,AU,1660532231
256,kodiak,57.79,-152.4072,53.11,94,100,8.05,US,1660532231
257,saint stephen,50.3333,-4.9,66.45,94,100,5.75,GB,1660532232
258,kysyl-syr,63.8986,122.7617,55.33,94,100,7.07,RU,1660532232
259,pitimbu,-7.4706,-34.8086,72.19,73,6,11.48,BR,1660532233
260,ciudad guayana,8.3533,-62.6528,78.53,82,93,3.51,VE,1660532233
261,werda,-25.2667,23.2833,42.96,51,6,7.07,BW,1660532234
262,turbat,26.0023,63.044,85.41,75,100,3.49,PK,1660532234
263,saint-augustin,51.226,-58.6502,58.96,98,100,14.32,CA,1660532235
264,iqaluit,63.7506,-68.5145,43.7,81,75,15.01,CA,1660532073
265,hambantota,6.1241,81.1185,80.94,89,20,1.14,LK,1660532236
266,dingle,10.9995,122.6711,84.06,74,87,10.0,PH,1660532236
267,palaia fokaia,37.72,23.9463,75.72,69,49,5.37,GR,1660532236
268,cervo,43.6702,-7.4101,66.96,83,56,8.41,ES,1660532237
269,zykovo,55.9519,93.1461,56.14,70,83,13.8,RU,1660532238
270,bac lieu,9.285,105.7244,85.82,67,100,13.09,VN,1660532238
271,catamarca,-28.4696,-65.7852,69.78,38,4,1.99,AR,1660532239
272,kalaleh,37.3807,55.4916,71.2,53,0,0.0,IR,1660532239
273,tommot,58.9564,126.2925,60.42,75,100,5.73,RU,1660532240
274,darnah,32.767,22.6367,78.91,80,0,14.85,LY,1660532240
275,tuatapere,-46.1333,167.6833,52.02,63,100,4.29,NZ,1660532241
276,san cristobal,7.7669,-72.225,71.78,99,99,3.02,VE,1660532241
277,shingu,33.7333,135.9833,91.69,57,67,11.99,JP,1660532242
278,juneau,58.3019,-134.4197,56.41,97,100,3.69,US,1660532211
279,kirakira,-10.4544,161.9205,83.53,70,76,7.45,SB,1660532243
280,akyab,20.15,92.9,81.55,84,100,9.98,MM,1660532244
281,maiduguri,11.8464,13.1603,72.95,90,100,7.9,NG,1660532117
282,klaksvik,62.2266,-6.589,47.32,86,100,6.42,FO,1660532244
283,fortuna,40.5982,-124.1573,61.68,86,100,10.36,US,1660532245
284,coahuayana,18.7333,-103.6833,77.13,92,100,1.61,MX,1660532246
285,nantucket,41.2835,-70.0995,66.16,48,100,7.56,US,1660532011
286,lavumisa,-27.31,31.892,54.63,70,0,3.27,SZ,1660532246
287,hobyo,5.3505,48.5268,76.08,85,100,17.78,SO,1660532247
288,pevek,69.7008,170.3133,33.96,85,87,9.53,RU,1660532247
289,gravdal,68.1214,13.5031,52.93,71,97,9.71,NO,1660532248
290,tabas,33.5959,56.9244,84.22,15,0,1.72,IR,1660532248
291,lavrentiya,65.5833,-171.0,41.76,73,41,5.64,RU,1660532249
292,hofn,64.2539,-15.2082,46.11,69,22,9.8,IS,1660532249
293,acaponeta,22.4964,-105.3594,78.75,88,100,0.43,MX,1660532250
294,gao,16.6362,1.637,88.63,49,48,21.3,ML,1660532250
295,chuy,-33.6971,-53.4616,58.84,86,8,10.13,UY,1660532251
296,kenmare,51.8833,-9.5833,63.07,96,76,3.31,IE,1660532252
297,luanda,-8.8368,13.2343,67.95,86,94,4.61,AO,1660532252
298,pangnirtung,66.1451,-65.7125,42.08,93,100,3.24,CA,1660532253
299,yumen,40.2833,97.2,79.81,19,0,10.74,CN,1660532253
300,imbituba,-28.24,-48.6703,66.09,90,85,15.99,BR,1660532254
301,los llanos de aridane,28.6585,-17.9182,67.12,91,0,11.5,ES,1660532254
302,havelock,34.8791,-76.9013,71.24,85,100,5.73,US,1660532255
303,patna,25.6,85.1167,80.53,94,75,17.27,IN,1660532244
304,viedma,-40.8135,-62.9967,54.27,37,75,18.43,AR,1660532255
305,sistranda,63.7256,8.834,60.76,87,98,6.44,NO,1660532256
306,snezhnogorsk,69.1933,33.2531,33.58,73,75,1.97,RU,1660532257
307,samarai,-10.6167,150.6667,83.52,72,42,9.53,PG,1660532257
308,caravelas,-17.7125,-39.2481,67.87,84,79,5.06,BR,1660532258
309,almaznyy,48.0448,40.045,73.69,31,9,12.3,RU,1660532258
310,lar,26.2039,83.9717,85.42,69,85,24.18,IN,1660532259
311,rapid valley,44.0625,-103.1463,76.3,62,95,5.99,US,1660532259
312,kaitangata,-46.2817,169.8464,50.92,67,98,8.03,NZ,1660532260
313,hay river,60.8156,-115.7999,78.78,50,0,6.91,CA,1660532260
314,sanary-sur-mer,43.1178,5.8001,74.21,68,1,4.41,FR,1660532261
315,rio gallegos,-51.6226,-69.2181,39.25,65,0,18.41,AR,1660532261
316,mahebourg,-20.4081,57.7,68.29,83,75,17.27,MU,1660532113
317,rawson,-43.3002,-65.1023,46.22,46,97,16.6,AR,1660532262
318,karwar,14.8,74.1333,78.28,85,100,8.34,IN,1660532262
319,yar-sale,66.8333,70.8333,48.31,65,55,19.91,RU,1660532263
320,komsomolskiy,40.4272,71.7189,83.12,32,51,4.61,UZ,1660532263
321,coachella,33.6803,-116.1739,100.18,34,57,3.0,US,1660532264
322,rudsar,37.1376,50.288,76.98,71,0,3.4,IR,1660532264
323,ketchikan,55.3422,-131.6461,57.69,97,100,4.88,US,1660532265
324,kaeo,-35.1,173.7833,58.32,94,100,10.92,NZ,1660532265
325,kopavogur,64.1123,-21.913,46.04,61,0,11.5,IS,1660532266
326,raudeberg,61.9875,5.1352,61.47,74,97,7.27,NO,1660532266
327,si bun ruang,16.9667,102.2833,76.93,91,100,1.16,TH,1660532266
328,wau,7.7029,27.9953,68.47,98,100,0.29,SS,1660532267
329,labuhan,-6.8844,112.2051,84.96,68,13,7.85,ID,1660532267
330,kota kinabalu,5.9749,116.0724,89.58,70,20,5.01,MY,1660532171
331,puerto ayacucho,5.6639,-67.6236,73.63,92,97,0.87,VE,1660532268
332,fort nelson,58.8053,-122.7002,69.39,83,75,3.44,CA,1660532231
333,lethem,3.3803,-59.7968,77.4,70,65,5.44,GY,1660532269
334,kati,12.7441,-8.0726,71.01,94,100,1.95,ML,1660532270
335,moron,-34.6534,-58.6198,66.7,83,78,7.92,AR,1660532270
336,amahai,-3.3333,128.9167,79.27,83,100,6.06,ID,1660532270
337,evensk,61.95,159.2333,65.23,67,69,1.68,RU,1660532271
338,paso de los toros,-32.8167,-56.5167,63.34,94,60,11.9,UY,1660532271
339,arlit,18.7369,7.3853,94.98,30,92,8.7,NE,1660532272
340,laguna,38.421,-121.4238,88.39,22,0,10.16,US,1660532273
341,karlskrona,56.1616,15.5866,63.05,96,20,8.88,SE,1660532273
342,yantai,37.5333,121.4,84.15,86,77,14.23,CN,1660532274
343,bolshaya martynovka,47.271,41.6679,78.8,30,7,13.04,RU,1660532274
344,kavieng,-2.5744,150.7967,83.12,67,100,5.44,PG,1660532275
345,independence,39.0911,-94.4155,76.73,72,55,1.01,US,1660532275
346,salinas,36.6777,-121.6555,60.94,78,75,12.66,US,1660531996
347,sinnamary,5.3833,-52.95,77.9,81,86,7.52,GF,1660532276
348,sechura,-5.5569,-80.8222,63.43,85,7,15.97,PE,1660532276
349,petropavlovsk-kamchatskiy,53.0452,158.6483,57.79,100,100,4.47,RU,1660532277
350,coihaique,-45.5752,-72.0662,35.55,87,100,8.05,CL,1660532278
351,bima,-8.4667,118.7167,92.03,45,6,3.27,ID,1660532278
352,guider,9.9342,13.9486,72.5,87,100,6.6,CM,1660532279
353,port blair,11.6667,92.75,84.24,84,40,6.91,IN,1660532279
354,guerrero negro,27.9769,-114.0611,72.81,78,1,16.64,MX,1660532189
355,sao miguel do araguaia,-13.275,-50.1628,76.41,37,6,5.06,BR,1660532280
356,mayo,38.8876,-76.5119,69.76,85,100,4.54,US,1660532280
357,sosva,59.1766,61.8558,51.76,62,15,5.55,RU,1660532281
358,lakatoro,-16.0999,167.4164,78.28,82,100,16.55,VU,1660532281
359,forestville,38.8451,-76.875,67.98,91,0,0.0,US,1660532282
360,walvis bay,-22.9575,14.5053,47.35,93,16,2.3,NA,1660532283
361,richards bay,-28.783,32.0377,60.22,60,60,7.78,ZA,1660532283
362,buala,-8.145,159.5921,84.74,66,37,4.9,SB,1660532284
363,brasilia de minas,-16.2064,-44.4333,62.22,47,0,8.25,BR,1660532284
364,bubaque,11.2833,-15.8333,78.84,82,99,16.17,GW,1660532285
365,kailua,21.4022,-157.7394,81.93,65,100,11.5,US,1660532032
